District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Achievement First Bridgeport Academy District,2850013,86.0,88.5,93.4,89.2,89.6
Achievement First Hartford Academy District,2880013,94.9,100.0,88.1,80.6,82.4
Amistad Academy District,2790013,83.0,93.4,95.0,95.5,90.5
Ansonia School District,0020011,83.9,74.0,78.9,80.1,85.7
Avon School District,0040011,96.1,95.0,95.9,94.4,94.6
Berlin School District,0070011,92.8,94.0,93.9,95.9,95.0
Bethel School District,0090011,96.5,93.9,92.3,94.7,93.9
Bloomfield School District,0110011,90.1,88.5,87.1,88.6,83.3
Bolton School District,0120011,100.0,94.9,94.7,95.9,94.2
Branford School District,0140011,92.5,92.4,90.9,93.3,91.2
Bridgeport School District,0150011,74.4,76.0,74.2,74.0,75.1
Bristol School District,0170011,89.0,89.2,84.5,88.1,90.9
Brookfield School District,0180011,94.9,96.8,94.7,94.9,94.3
Canton School District,0230011,98.3,93.7,93.2,94.5,91.2
Capital Preparatory Harbor School District,2970013,65.9,86.3,96.6,92.1,95.0
Capitol Region Education Council,2410014,97.0,90.6,93.1,92.1,90.5
Cheshire School District,0250011,96.0,97.0,95.3,95.6,93.9
Clinton School District,0270011,94.2,92.2,92.4,95.1,95.0
Colchester School District,0280011,90.5,91.1,87.2,86.2,94.2
Common Ground High School District,2680013,95.0,78.3,88.2,73.3,72.5
Connecticut Technical Education and Career System,9000016,97.3,96.7,95.7,95.9,97.1
Coventry School District,0320011,94.4,95.6,96.3,94.2,95.1
Cromwell School District,0330011,94.4,97.1,90.8,95.4,94.2
Danbury School District,0340011,80.8,82.5,80.0,77.9,76.0
Darien School District,0350011,97.2,99.0,98.1,98.3,97.0
Department of Mental Health and Addiction Services,3370015,*,*,*,*,N/A
Derby School District,0370011,76.7,76.3,67.5,75.6,77.7
East Granby School District,0400011,96.3,95.5,96.9,100.0,94.1
East Haddam School District,0410011,92.2,94.6,94.7,95.1,92.5
East Hampton School District,0420011,97.5,95.5,95.6,96.0,97.3
East Hartford School District,0430011,85.6,91.3,87.8,86.2,84.6
East Haven School District,0440011,78.3,81.3,76.4,77.1,82.6
East Lyme School District,0450011,94.2,95.4,91.6,96.1,94.4
East Windsor School District,0470011,84.9,83.1,92.0,85.1,86.4
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,83.1,86.3,85.7,80.6,82.6
Ellington School District,0480011,94.7,97.4,96.1,92.4,93.4
Elm City College Preparatory School District,2890013,92.9,91.2,90.5,95.5,76.9
Enfield School District,0490011,92.1,91.1,88.1,89.1,89.8
Explorations District,2720013,54.8,*,82.4,56.8,65.2
Fairfield School District,0510011,95.5,96.6,95.7,94.8,94.7
Farmington School District,0520011,98.7,96.9,97.9,97.3,96.1
Glastonbury School District,0540011,96.4,96.7,96.2,97.5,96.8
Goodwin University Educational Services (GUES),2310018,N/A,N/A,93.5,91.5,81.9
Granby School District,0560011,98.1,96.1,97.5,95.5,94.4
Great Oaks Charter School District,2940013,N/A,82.0,86.0,83.8,74.2
Greenwich School District,0570011,95.5,96.3,95.9,94.1,96.2
Griswold School District,0580011,89.9,85.3,82.6,82.9,82.9
Groton School District,0590011,88.2,85.6,89.8,84.2,88.0
Guilford School District,0600011,94.5,96.0,93.5,94.5,96.3
Hamden School District,0620011,86.9,87.6,84.6,78.6,84.5
Hartford School District,0640011,68.6,72.3,73.8,78.4,78.6
Highville Charter School District,2860013,*,*,*,*,*
Jumoke Academy District,2610013,*,*,*,*,N/A
Killingly School District,0690011,84.3,87.6,78.5,83.4,85.4
Learn,2450014,92.7,97.6,99.0,94.4,97.1
Lebanon School District,0710011,93.7,90.8,97.4,93.1,83.1
Ledyard School District,0720011,92.6,97.1,95.4,96.8,94.3
Litchfield School District,0740011,98.8,95.4,94.9,96.6,96.7
Madison School District,0760011,96.2,96.5,97.9,97.3,95.3
Manchester School District,0770011,81.3,81.1,86.1,82.0,83.8
Meriden School District,0800011,85.0,85.3,86.6,81.9,85.6
Middletown School District,0830011,89.2,93.3,93.6,91.1,90.0
Milford School District,0840011,93.0,92.7,94.0,91.4,92.1
Monroe School District,0850011,97.0,96.6,99.0,99.2,95.8
Montville School District,0860011,84.9,91.9,91.3,86.7,89.1
Naugatuck School District,0880011,87.2,88.9,88.5,87.8,87.5
New Britain School District,0890011,78.7,78.7,76.6,67.7,71.0
New Canaan School District,0900011,97.7,97.9,99.3,99.1,96.2
New Fairfield School District,0910011,98.9,96.8,97.2,98.7,96.7
New Haven School District,0930011,77.8,78.6,75.8,73.5,72.5
New London School District,0950011,78.0,86.9,78.9,68.8,78.5
New Milford School District,0960011,90.2,92.0,82.8,88.4,86.6
Newington School District,0940011,96.4,96.0,95.9,94.1,95.0
Newtown School District,0970011,97.4,96.4,96.2,97.2,97.4
North Branford School District,0990011,87.8,94.4,94.7,98.4,98.0
North Haven School District,1010011,92.9,92.6,92.6,91.6,93.6
North Stonington School District,1020011,91.7,95.7,98.0,98.2,93.6
Norwalk School District,1030011,85.6,87.8,91.1,91.6,92.6
Norwich Free Academy District,9010022,87.6,89.6,88.5,89.8,89.3
Old Saybrook School District,1060011,94.6,94.2,94.0,95.8,95.1
Oxford School District,1080011,95.7,96.3,94.0,98.6,94.0
Plainfield School District,1090011,86.3,88.2,81.8,87.9,80.9
Plainville School District,1100011,94.4,90.6,92.5,85.3,93.6
Plymouth School District,1110011,89.2,91.7,87.6,90.2,94.4
Portland School District,1130011,92.3,91.6,94.1,85.4,85.1
Putnam School District,1160011,93.7,85.5,88.1,81.7,93.1
Regional School District 01,2010012,90.7,90.0,92.5,92.8,94.8
Regional School District 04,2040012,88.5,92.2,94.7,96.9,95.8
Regional School District 05,2050012,95.4,96.1,96.9,95.9,96.6
Regional School District 06,2060012,98.2,97.8,92.6,99.0,98.9
Regional School District 07,2070012,96.0,93.8,96.0,99.3,98.4
Regional School District 08,2080012,96.8,94.3,93.2,94.4,94.5
Regional School District 09,2090012,96.2,97.0,96.3,94.5,94.8
Regional School District 10,2100012,98.1,98.5,96.8,97.6,97.3
Regional School District 11,2110012,96.4,91.4,81.6,75.8,*
Regional School District 12,2120012,94.7,98.2,100.0,95.7,94.9
Regional School District 13,2130012,94.6,96.9,95.5,93.3,94.5
Regional School District 14,2140012,98.0,97.1,96.4,96.4,96.2
Regional School District 15,2150012,96.3,94.5,93.6,94.7,97.0
Regional School District 16,2160012,96.0,94.5,94.6,93.7,93.3
Regional School District 17,2170012,92.7,97.7,97.8,94.8,96.4
Regional School District 18,2180012,96.1,94.9,93.7,98.1,95.4
Regional School District 19,2190012,93.6,92.8,92.3,92.7,93.7
Ridgefield School District,1180011,97.5,95.9,95.9,96.2,95.9
Rocky Hill School District,1190011,92.9,96.8,94.4,92.8,95.0
Seymour School District,1240011,91.9,91.7,86.3,85.4,86.4
Shelton School District,1260011,94.9,89.9,85.6,89.7,91.5
Simsbury School District,1280011,95.6,98.4,96.8,93.8,96.2
Somers School District,1290011,94.3,97.5,99.1,96.5,92.1
South Windsor School District,1320011,95.8,95.3,96.8,96.5,97.2
Southington School District,1310011,94.1,95.6,94.1,93.5,91.3
Stafford School District,1340011,91.5,95.5,97.7,90.1,98.1
Stamford Academy District,2820013,50.0,N/A,N/A,N/A,N/A
Stamford School District,1350011,86.4,85.4,83.1,78.2,79.5
Stonington School District,1370011,95.7,94.9,95.1,95.9,93.4
Stratford School District,1380011,92.4,92.7,93.3,87.1,90.9
Suffield School District,1390011,97.3,95.9,96.6,95.8,96.5
The Bridge Academy District,2690013,74.4,76.3,81.1,97.2,92.5
The Gilbert School District,9020022,88.7,89.5,84.7,88.0,84.1
The Woodstock Academy District,9030022,95.6,95.7,96.1,98.1,95.8
Thomaston School District,1400011,96.3,98.5,92.0,93.5,95.6
Thompson School District,1410011,85.4,78.6,79.4,88.0,90.0
Tolland School District,1420011,95.3,96.4,97.0,96.3,97.3
Torrington School District,1430011,80.1,78.5,82.0,80.0,76.4
Trumbull School District,1440011,95.1,97.4,95.2,96.3,95.5
Unified School District #1,3360015,2.5,3.8,*,0.0,*
Unified School District #2,3470015,*,*,*,*,N/A
Vernon School District,1460011,82.3,77.5,81.9,81.3,88.9
Wallingford School District,1480011,93.7,94.6,92.3,90.5,90.9
Waterbury School District,1510011,82.1,83.6,83.0,81.3,85.7
Waterford School District,1520011,86.9,92.1,93.9,89.4,91.0
Watertown School District,1530011,92.3,87.9,90.0,88.7,87.2
West Hartford School District,1550011,91.9,95.1,93.5,92.8,92.2
West Haven School District,1560011,84.7,80.6,84.0,85.7,88.6
Westbrook School District,1540011,90.9,98.0,93.0,92.3,94.1
Weston School District,1570011,100.0,97.0,99.0,97.8,95.6
Westport School District,1580011,98.2,97.4,97.4,99.1,95.8
Wethersfield School District,1590011,95.3,93.8,95.9,91.2,94.9
Wilton School District,1610011,97.8,95.9,97.5,93.7,97.8
Windham School District,1630011,77.6,78.4,68.1,76.4,79.8
Windsor Locks School District,1650011,85.1,82.1,81.8,89.1,88.7
Windsor School District,1640011,87.9,84.2,87.7,85.8,85.2
Wolcott School District,1660011,96.2,91.8,96.6,93.1,90.2