,,
,,
Geographic area,,
,,
,,
,,Total 1  
,,
  United States................................................................,,"16,526"
,,
Alabama........................................................................,,"12,765"
Alaska...........................................................................,,"20,340"
Arizona...........................................................................,,"11,297"
Arkansas........................................................................,,"12,738"
California........................................................................,,"18,798"
,,
Colorado.........................................................................,,"14,858"
Connecticut....................................................................,,"25,081"
Delaware........................................................................,,"21,340"
District of Columbia..........................................................,,"31,629"
Florida............................................................................,,"11,862"
,,
Georgia..........................................................................,,"14,414"
Hawaii...........................................................................,,"20,056"
Idaho..............................................................................,,"10,247"
Illinois............................................................................,,"20,253"
Indiana...........................................................................,,"13,121"
,,
Iowa..............................................................................,,"13,792"
Kansas..........................................................................,,"14,847"
Kentucky........................................................................,,"14,633"
Louisiana........................................................................,,"14,645"
Maine.............................................................................,,"18,797"
,,
Maryland........................................................................,,"18,887"
Massachusetts................................................................,,"22,947"
Michigan........................................................................,,"17,535"
Minnesota......................................................................,,"16,117"
Mississippi.....................................................................,,"12,093"
,,
Missouri........................................................................,,"13,472"
Montana........................................................................,,"13,771"
Nebraska.......................................................................,,"15,200"
Nevada...........................................................................,,"11,673"
New Hampshire...............................................................,,"21,731"
,,
New Jersey.....................................................................,,"26,280"
New Mexico...................................................................,,"15,693"
New York.......................................................................,,"30,012"
North Carolina.................................................................,,"12,492"
North Dakota...................................................................,,"16,114"
,,
Ohio...............................................................................,,"16,476"
Oklahoma.......................................................................,,"11,155"
Oregon...........................................................................,,"17,161"
Pennsylvania..................................................................,,"20,056"
Rhode Island...................................................................,,"21,182"
,,
South Carolina.................................................................,,"13,957"
South Dakota..................................................................,,"12,005"
Tennessee.......................................................................,,"12,197"
Texas.............................................................................,,"12,304"
Utah................................................................................,,"10,333"
,,
Vermont..........................................................................,,"26,345"
Virginia...........................................................................,,"16,098"
Washington.....................................................................,,"18,181"
West Virginia...................................................................,,"14,575"
Wisconsin.......................................................................,,"14,882"
Wyoming.........................................................................,,"19,324"
,,
,,
,,
,,
,,
,,